route,hv,dt,pf,dv
1,68.57946271,18.47572642,0,87.25849661
4,0,0,0,0
5,0,0,0,0
7,21.06227566,4.066687484,0,104.8493555
8,0.416323462,0.704323868,0,8.57317599
9,65.16436732,14.87947719,2.499076626,94.07238939
10,0.836287928,0.12419904,0,1.92504057
11,13.02791187,3.779301133,0,15.26944917
14,1.11111E-09,0.134094856,0,0.678839162
15,14.36527547,4.400485134,0.343972977,41.08017506
16,5.043273666,0.565410931,10.26958869,43.89096708
17,0.725355362,1.975509014,0,1.704339156
18,0,0,0,0
19,0.322562485,2.547640191,0,11.67777191
21,21.83185782,4.118688272,0,27.4589476
22,18.89537708,7.023750228,2.844151899,56.23693149
23,25.72204172,14.81785007,9.150508272,139.0527768
24,5.55556E-10,0.118367782,0,0.9118673
26,0.140849306,0.161771125,0,0.100119213
27,2.77778E-10,0,0,0.228651714
28,64.05545718,9.471853815,0,76.26603197
29,0.409242665,1.260992479,0,3.584862627
30,0.017125188,0.296591873,0.801213272,6.308300841
31,25.54633907,7.796457716,3.352761411,21.54756375
32,64.73528712,22.00977275,3.195720872,75.03792934
33,0,0.045521605,0,0.675111008
34,8.113757181,7.117724495,0.278742283,46.89509813
35,1.482450182,0.618058041,0,14.76132614
36,4.455314714,0.347625308,0,21.96901883
37,1.80586675,1.690142112,0,3.198321488
38,0.258123012,1.806387962,0,10.26176135
39,54.46495461,6.892454191,0.027229664,55.98072241
40,0.015716361,3.544520581,0,13.83553209
41,0.044535391,0.096570062,0,1.227702949
42,0.320781922,0.207209053,0,0.37159157
43,0,0,0,0.091840878
44,0.61119053,0.387552009,0,4.449974643
45,5.317472043,0.685816106,0,10.52058352
47,20.19416312,9.373824471,11.45651538,59.14643882
50,0.026920062,0.377949125,2.871577605,11.53963702
51,0.093179219,8.991650549,1.084023972,11.99345994
52,1.11111E-09,1.509651406,0,2.934471707
55,0,0,0,0
57,56.45785787,11.36583822,13.3851155,124.0654591
59,0,0.116388786,0,0.117368279
60,0,0,0,0.166717661
62,1.402186366,3.330393705,7.244887442,28.47084953
